language_id,speaker_id,k_terms,n_labeled_chips,mse_cielab
1,1,6,330,0.2107872080594568
1,2,7,330,0.18323988160872273
1,3,6,330,0.20554778206505875
1,4,6,330,0.17715221491775673
1,5,7,330,0.19255908534497027
1,6,6,330,0.1583506333721723
1,7,7,330,0.1862654193385612
1,8,7,330,0.17860368150907868
1,9,7,330,0.18180110474993968
1,10,7,330,0.19363067523005015
1,11,8,330,0.1712148514655543
1,12,6,330,0.14863657245877665
1,13,8,330,0.185463964869397
1,14,8,330,0.16560447330735273
1,15,6,330,0.21910498957618643
1,16,7,330,0.21913577048198457
1,17,7,330,0.15717573692590123
1,18,6,330,0.23696567213961017
1,19,7,330,0.19044129463549603
1,20,5,330,0.20617586925302808
1,21,7,330,0.18808989681189325
1,22,7,330,0.16078179993065606
1,23,6,330,0.1674222141577888
1,24,7,330,0.22063449360184642
1,25,6,330,0.17481493105724116
2,1,8,330,0.16460306095057708
2,2,10,330,0.13837032120170184
2,3,9,330,0.1511447100178311
2,4,8,330,0.15165867794542168
2,5,15,330,0.16670867143365742
2,6,7,330,0.2081834750975524
2,7,10,330,0.21809551226814772
2,8,15,330,0.16925487747784854
2,9,8,330,0.24770885546184238
2,10,6,330,0.16451861503076984
2,11,5,330,0.22173730604593325
2,12,8,330,0.15999898161859272
2,13,9,330,0.1523214777921657
2,14,11,330,0.13044235751604202
2,15,17,330,0.14894915602850528
2,16,14,330,0.14059744744942038
2,17,11,330,0.1807502489948644
2,18,8,330,0.14522390252649464
2,19,8,330,0.15510403233860137
2,20,12,330,0.1806615748149079
2,21,11,330,0.17230668886840803
2,22,8,330,0.15811852417365851
2,23,8,330,0.17292657430102382
2,24,13,330,0.17201571986488728
3,1,8,330,0.16930802151374458
3,2,10,330,0.1793644087071814
3,3,11,330,0.13740083581309329
3,4,10,330,0.1514213262933764
3,5,11,330,0.1643062576195322
3,6,23,330,0.13471412660116452
3,7,11,330,0.1322788603230642
3,8,32,330,0.16185686141600247
3,9,9,330,0.136595340127047
3,10,13,330,0.11373427951121676
3,11,4,330,0.19078071506206956
3,12,12,330,0.18265416695602926
3,13,13,330,0.14722965753053674
3,14,4,330,0.18402546790423377
3,15,14,330,0.10008133376582388
3,16,22,330,0.11113799732674176
3,17,13,330,0.14656185654360138
3,18,18,330,0.1272677254578869
3,19,18,330,0.1390503266352443
3,20,14,330,0.14879072082757155
3,21,25,330,0.1507973792416711
3,22,18,330,0.16466220065145104
3,23,13,330,0.17494340825210797
3,24,28,330,0.18482276199838887
3,25,20,330,0.17856905873638548
4,1,9,330,0.16175862391219759
4,2,9,330,0.16649284537804193
4,3,10,330,0.11998911674568973
4,4,9,330,0.22187020932659357
4,5,13,330,0.15214456891089542
4,6,9,330,0.14485492271607706
4,7,9,330,0.17697899080537266
4,8,10,330,0.1580962427261252
4,9,10,330,0.16769466856876528
4,10,9,330,0.1531671129879676
4,11,11,330,0.18199531946797623
4,12,11,330,0.15540283077376676
4,13,10,330,0.17880485783392244
4,14,10,330,0.14338496870080775
4,15,10,330,0.1409298880545525
4,16,8,330,0.22285147951760795
4,17,13,330,0.14318339786818882
4,18,9,330,0.1778928749032763
4,19,9,330,0.17909020939069226
4,20,10,330,0.1510526969529772
4,21,8,330,0.14572930572871762
4,22,10,330,0.1407002835905976
4,23,10,330,0.12249685699157672
4,24,9,330,0.1675596365370059
4,25,11,330,0.12447579969713714
4,26,8,330,0.12941736645615398
4,27,11,330,0.1505313820560402
4,28,9,330,0.12480265701313031
4,29,8,330,0.12357310978889591
4,30,12,330,0.18835665320093228
4,31,14,330,0.18862968689208454
4,32,10,330,0.1926520324591051
4,33,6,330,0.2603837485028775
4,34,5,330,0.1840225594391434
4,35,13,330,0.1812035558677716
5,1,9,330,0.15601464969140233
5,2,7,330,0.15668858643418718
5,3,7,330,0.13895521915955075
5,4,7,330,0.14964622884060377
5,5,7,330,0.1689389882123873
5,6,7,330,0.1513265651453505
6,1,8,330,0.13846003168654905
6,2,10,330,0.14767183967892203
6,3,11,330,0.17964401306712888
6,4,8,330,0.15931256386891524
6,5,13,330,0.13990639531779137
6,6,10,330,0.13465223303128346
6,7,8,330,0.20841707714847843
6,8,11,330,0.13694768397003843
6,9,9,330,0.1487053377715619
6,10,7,330,0.2056574971400638
6,11,10,330,0.1618962545682051
6,12,8,330,0.18266934674452348
6,13,16,330,0.13523502357444503
6,14,7,330,0.1872403402058305
6,15,8,330,0.14949592757660837
6,16,17,330,0.15392236874556467
6,17,22,330,0.15680893753119002
6,18,13,330,0.1466220004826611
6,19,11,330,0.13965197437937824
6,20,10,330,0.1362055601214755
6,21,6,330,0.16821903993986373
6,22,7,330,0.18521642159599128
6,23,11,330,0.149568759106827
6,24,12,330,0.1703047431841732
6,25,10,330,0.17012017489034872
6,26,16,330,0.15767047238734888
6,27,11,330,0.15565640938664285
7,1,16,330,0.14147788150533214
7,2,17,330,0.11730333493868768
7,3,15,330,0.13575776259104094
7,4,14,330,0.15841276968499537
7,5,13,330,0.1613339073906472
7,6,12,330,0.12977255832962795
7,7,15,330,0.11629610360450014
7,8,14,330,0.13187836552262522
7,9,15,330,0.11257889374567664
7,10,14,330,0.1027926598254044
7,11,15,330,0.10991830535618144
7,12,13,330,0.13500782570503767
7,13,16,330,0.12302485670149513
7,14,12,330,0.10948809245952472
7,15,15,330,0.11231207838223048
7,16,16,330,0.13570685309922084
7,17,14,330,0.11082661106086357
7,18,15,330,0.1111544693288223
7,19,15,330,0.09977073286662752
7,20,11,330,0.13769604868987748
7,21,12,330,0.11561026292734275
7,22,13,330,0.12332113122665506
7,23,13,330,0.10938916769905464
7,24,13,330,0.14261795288425366
7,25,11,330,0.21259665212463774
8,1,15,330,0.182033098090099
8,2,10,330,0.19517432268077375
8,3,8,330,0.14478350702012974
8,4,9,330,0.17665676077534107
8,5,8,330,0.19829929184808193
8,6,7,330,0.23520609598704437
8,7,7,330,0.1670488588280819
8,8,8,330,0.15427719454817299
8,9,6,330,0.16336167608825725
8,10,7,330,0.16229956958044087
8,11,8,330,0.17690762356431347
8,12,6,330,0.17568865866805108
8,13,7,330,0.16169760830867475
8,14,8,330,0.1720693218594311
8,15,7,330,0.13904953062051825
8,16,7,330,0.16139437404272286
8,17,6,330,0.17949185623824046
8,18,7,330,0.1545097443119634
8,19,8,330,0.14501183691385003
8,20,7,330,0.1944537949522252
8,21,8,330,0.17084918901726506
8,22,7,330,0.18974926870775533
8,23,8,330,0.17292352762264243
8,24,7,330,0.1685312712704876
8,25,7,330,0.13508793407519
9,1,8,330,0.1861355057428236
9,2,8,330,0.19035827292917953
9,3,5,330,0.19626484780047435
9,4,9,330,0.2045099644094743
9,5,9,330,0.2116647895227426
9,6,7,330,0.1799837428371396
9,7,6,330,0.15873437488840902
9,8,6,330,0.174123017594739
9,9,6,330,0.1653415052108097
9,10,6,330,0.151627649645088
9,11,7,330,0.14262073967916403
9,12,7,330,0.178039881982586
9,13,9,330,0.179596876657009
9,14,7,330,0.17455034725882462
9,15,7,330,0.16425841535018987
9,16,7,330,0.2050801273361007
9,17,7,330,0.20145685390100357
9,18,7,330,0.17814286859616063
9,19,7,330,0.1635674101377496
9,20,6,330,0.2070845723473041
